j xq yq zq rhoq vxq vyq vzq pxq pyq pzq Tq pq
485 0.000000 0.036866 0.120337 17.052072 1.217476 0.034893 0.048132 20.760481 0.594998 0.820751 0.041164 0.346717
486 0.000000 0.045059 0.120337 16.843147 1.211373 0.018010 0.041064 20.403328 0.303347 0.691650 0.047661 0.361419
487 0.000000 0.053251 0.120337 16.906737 1.204781 -0.005400 0.033734 20.368913 -0.091289 0.570331 0.048333 0.337524
488 0.000000 0.061444 0.120337 16.935011 1.197092 -0.023221 0.036443 20.272762 -0.393245 0.617157 0.044594 0.345183
489 0.000000 0.069636 0.120337 16.958347 1.188616 -0.029937 0.045829 20.156961 -0.507690 0.777185 0.042011 0.350546
490 0.000000 0.077829 0.120337 16.295738 1.176532 -0.027399 0.054649 19.172451 -0.446483 0.890548 0.044319 0.327609
491 0.000000 0.086022 0.120337 15.296430 1.157516 -0.024753 0.050015 17.705870 -0.378634 0.765045 0.052398 0.340284
492 0.000000 0.094214 0.120337 14.521842 1.129609 -0.025893 0.023988 16.403998 -0.376020 0.348354 0.063441 0.330115
493 0.000000 0.102407 0.120337 14.270304 1.104509 -0.028932 -0.007706 15.761676 -0.412874 -0.109973 0.068463 0.335688
494 0.000000 0.110599 0.120337 14.886026 1.086329 -0.031471 -0.022231 16.171124 -0.468473 -0.330935 0.066283 0.326036
495 0.000000 0.118792 0.120337 15.703674 1.064294 -0.030337 -0.018539 16.713332 -0.476405 -0.291129 0.061491 0.323062
496 0.000000 0.126984 0.120337 16.285240 1.035451 -0.029162 -0.005070 16.862562 -0.474905 -0.082562 0.057256 0.314260
497 0.000000 0.135177 0.120337 16.058129 0.998952 -0.029133 0.009155 16.041296 -0.467825 0.147005 0.057695 0.334410
498 0.000000 0.143369 0.120337 15.131156 0.952064 -0.029108 0.018691 14.405823 -0.440432 0.282809 0.063666 0.319498
499 0.000000 0.151562 0.120337 14.392706 0.889681 -0.025686 0.019880 12.804913 -0.369696 0.286128 0.076141 0.320445
500 0.000000 0.159754 0.120337 14.438369 0.829365 -0.018784 0.008600 11.974684 -0.271212 0.124169 0.091192 0.327076
501 0.000000 0.167947 0.120337 14.809222 0.776885 -0.020583 -0.012288 11.505064 -0.304824 -0.181969 0.102782 0.334032
502 0.000000 0.176139 0.120337 15.100449 0.742054 -0.032919 -0.030259 11.205345 -0.497097 -0.456920 0.109711 0.319856
503 0.000000 0.184332 0.120337 15.164746 0.723222 -0.049613 -0.033250 10.967474 -0.752374 -0.504222 0.116528 0.313155
504 0.000000 0.192524 0.120337 14.872656 0.709560 -0.051380 -0.018234 10.553047 -0.764150 -0.271193 0.119932 0.317218
505 0.000000 0.200717 0.120337 14.474987 0.698972 -0.025420 0.009977 10.117612 -0.367959 0.144411 0.113604 0.318595
506 0.000000 0.208909 0.120337 13.947239 0.695608 0.019667 0.039732 9.701814 0.274301 0.554152 0.099303 0.328738
507 0.000000 0.217102 0.120337 14.153239 0.696413 0.067788 0.062513 9.856496 0.959418 0.884762 0.088233 0.315445
508 0.000000 0.225294 0.120337 13.960938 0.687957 0.105969 0.078078 9.604518 1.479433 1.090047 0.086379 0.311883
509 0.000000 0.233487 0.120337 12.781185 0.661021 0.132529 0.084556 8.448628 1.693874 1.080727 0.095630 0.324503
510 0.000000 0.241679 0.120337 10.803193 0.604764 0.136444 0.077632 6.533382 1.474032 0.838672 0.109590 0.338253
511 0.000000 0.249872 0.120337 8.605399 0.516962 0.118242 0.059629 4.448661 1.017518 0.513132 0.109599 0.324440
512 0.000000 0.258065 0.120337 6.616157 0.412644 0.082377 0.037514 2.730116 0.545019 0.248201 0.086021 0.305296
513 0.000000 -0.290323 0.135380 7.403972 0.442906 -0.008303 0.019735 3.279265 -0.061476 0.146115 0.035636 0.307701
514 0.000000 -0.281106 0.135380 9.870009 0.436972 -0.045351 0.044917 4.312919 -0.447618 0.443333 0.035062 0.267421
515 0.000000 -0.271889 0.135380 11.722309 0.456766 -0.053963 0.056811 5.354348 -0.632565 0.665958 0.047035 0.290239
516 0.000000 -0.262673 0.135380 13.076485 0.501901 -0.028857 0.044263 6.563106 -0.377347 0.578805 0.068926 0.293788
517 0.000000 -0.253456 0.135380 14.068786 0.569858 0.001537 0.006044 8.017211 0.021629 0.085035 0.088884 0.296696
518 0.000000 -0.244240 0.135380 14.724705 0.651501 0.014333 -0.037742 9.593162 0.211056 -0.555733 0.095444 0.332122
519 0.000000 -0.235023 0.135380 14.747974 0.728457 0.015941 -0.062654 10.743270 0.235103 -0.924012 0.086086 0.323045
520 0.000000 -0.225806 0.135380 14.539174 0.777638 0.023378 -0.058889 11.306217 0.339892 -0.856204 0.071100 0.306216
521 0.000000 -0.216590 0.135380 14.310687 0.791693 0.035126 -0.038748 11.329664 0.502682 -0.554517 0.062199 0.315368
522 0.000000 -0.207373 0.135380 14.111766 0.799081 0.033802 -0.019550 11.276441 0.477007 -0.275888 0.067608 0.299785
523 0.000000 -0.198157 0.135380 13.900886 0.827085 0.020523 -0.011201 11.497216 0.285288 -0.155708 0.081533 0.301467
524 0.000000 -0.188940 0.135380 13.767039 0.882194 0.004215 -0.014737 12.145203 0.058024 -0.202879 0.091186 0.307442
525 0.000000 -0.179724 0.135380 13.917285 0.954963 -0.009842 -0.019358 13.290497 -0.136979 -0.269407 0.090914 0.310564
526 0.000000 -0.170507 0.135380 14.061556 1.038019 -0.011395 -0.019779 14.596159 -0.160229 -0.278124 0.085228 0.309233
527 0.000000 -0.161290 0.135380 14.163594 1.116897 0.001267 -0.019906 15.819282 0.017948 -0.281936 0.084132 0.305660
528 0.000000 -0.152074 0.135380 14.539052 1.182057 0.018171 -0.027150 17.185990 0.264183 -0.394736 0.077762 0.303914
529 0.000000 -0.142857 0.135380 15.232964 1.211675 0.028879 -0.043434 18.457406 0.439920 -0.661627 0.064853 0.296994
530 0.000000 -0.133641 0.135380 16.005229 1.208694 0.027818 -0.054825 19.345427 0.445227 -0.877481 0.053614 0.330515
531 0.000000 -0.124424 0.135380 16.360720 1.188024 0.025552 -0.054650 19.436932 0.418046 -0.894105 0.047671 0.315511
532 0.000000 -0.115207 0.135380 15.953945 1.175896 0.034803 -0.039978 18.760184 0.555240 -0.637811 0.043298 0.305665
533 0.000000 -0.105991 0.135380 15.608436 1.186987 0.052111 -0.022199 18.527006 0.813365 -0.346494 0.037510 0.321096
534 0.000000 -0.096774 0.135380 15.821049 1.218797 0.066096 -0.017994 19.282646 1.045707 -0.284682 0.032961 0.321789
535 0.000000 -0.087558 0.135380 16.754558 1.257447 0.071218 -0.023329 21.067974 1.193220 -0.390863 0.029643 0.315808
536 0.000000 -0.078341 0.135380 17.450643 1.297664 0.063681 -0.030504 22.645065 1.111272 -0.532309 0.027014 0.314840
537 0.000000 -0.069124 0.135380 17.586790 1.342411 0.042243 -0.041297 23.608709 0.742919 -0.726283 0.025803 0.335223
538 0.000000 -0.059908 0.135380 17.605458 1.381513 0.015502 -0.054887 24.322176 0.272925 -0.966313 0.026399 0.325776
539 0.000000 -0.050691 0.135380 17.499423 1.408600 -0.001670 -0.061528 24.649688 -0.029225 -1.076709 0.029169 0.309765
540 0.000000 -0.041475 0.135380 16.723285 1.417511 -0.010059 -0.053900 23.705447 -0.168223 -0.901377 0.035031 0.329127
541 0.000000 -0.032258 0.135380 15.988347 1.401305 -0.012802 -0.040668 22.404548 -0.204676 -0.650210 0.041862 0.335847
542 0.000000 -0.023041 0.135380 16.220027 1.366505 -0.012234 -0.031862 22.164745 -0.198431 -0.516805 0.043326 0.337288
543 0.000000 -0.013825 0.135380 17.000758 1.337090 -0.012225 -0.030679 22.731549 -0.207838 -0.521568 0.039395 0.331263
544 0.000000 -0.004608 0.135380 17.321047 1.324119 -0.015250 -0.029730 22.935134 -0.264148 -0.514949 0.035721 0.330430
545 0.000000 0.004608 0.135380 16.792135 1.326249 -0.017149 -0.017177 22.270556 -0.287968 -0.288438 0.032360 0.320249
546 0.000000 0.013825 0.135380 16.503749 1.337895 -0.011191 0.002998 22.080289 -0.184687 0.049477 0.029184 0.330927
547 0.000000 0.023041 0.135380 16.744587 1.348671 -0.003879 0.021905 22.582940 -0.064959 0.366794 0.028418 0.315622
548 0.000000 0.032258 0.135380 17.398669 1.355870 -0.002930 0.034664 23.590336 -0.050985 0.603111 0.027014 0.330216
549 0.000000 0.041475 0.135380 17.796771 1.355854 -0.008196 0.038132 24.129826 -0.145868 0.678627 0.025283 0.355379
550 0.000000 0.050691 0.135380 17.732958 1.350771 -0.014815 0.033509 23.953157 -0.262719 0.594206 0.026084 0.320911
551 0.000000 0.059908 0.135380 17.292426 1.337944 -0.017599 0.028004 23.136298 -0.304324 0.484255 0.029462 0.341706
552 0.000000 0.069124 0.135380 16.626357 1.319969 -0.014955 0.031731 21.946280 -0.248651 0.527578 0.034586 0.335232
553 0.000000 0.078341 0.135380 15.850392 1.309553 -0.009563 0.043058 20.756932 -0.151582 0.682484 0.040630 0.313217
554 0.000000 0.087558 0.135380 14.978087 1.299943 -0.009769 0.048567 19.470659 -0.146320 0.727445 0.050141 0.321426
555 0.000000 0.096774 0.135380 14.213017 1.290020 -0.021269 0.037399 18.335081 -0.302295 0.531558 0.060261 0.330977
556 0.000000 0.105991 0.135380 14.592832 1.275546 -0.039963 0.015198 18.613824 -0.583177 0.221776 0.063829 0.310924
557 0.000000 0.115207 0.135380 15.994086 1.248655 -0.054598 0.001062 19.971102 -0.873239 0.016982 0.059781 0.315880
558 0.000000 0.124424 0.135380 16.831132 1.211691 -0.065171 -0.002066 20.394124 -1.096905 -0.034769 0.053731 0.309096
559 0.000000 0.133641 0.135380 16.246074 1.165770 -0.074963 0.004280 18.939178 -1.217850 0.069534 0.048631 0.321120
560 0.000000 0.142857 0.135380 15.203640 1.119975 -0.078046 0.014179 17.027694 -1.186581 0.215578 0.050029 0.304698
561 0.000000 0.152074 0.135380 14.468136 1.079553 -0.069130 0.018524 15.619122 -1.000177 0.268011 0.066504 0.308097
562 0.000000 0.161290 0.135380 14.800512 1.043996 -0.054457 0.005805 15.451672 -0.805989 0.085920 0.090908 0.310774
563 0.000000 0.170507 0.135380 15.493864 1.004122 -0.051874 -0.013037 15.557722 -0.803729 -0.201995 0.114764 0.306775
564 0.000000 0.179724 0.135380 15.740736 0.958550 -0.058031 -0.021297 15.088281 -0.913445 -0.335227 0.127082 0.309040
565 0.000000 0.188940 0.135380 15.610970 0.912443 -0.062464 -0.009277 14.244122 -0.975119 -0.144827 0.123290 0.272750
566 0.000000 0.198157 0.135380 15.249830 0.867692 -0.053214 0.013104 13.232156 -0.811508 0.199827 0.107986 0.297462
567 0.000000 0.207373 0.135380 15.031812 0.840959 -0.025974 0.037655 12.641138 -0.390433 0.566021 0.091148 0.316488
568 0.000000 0.216590 0.135380 15.252774 0.818601 0.010066 0.056739 12.485942 0.153530 0.865423 0.079475 0.300694
569 0.000000 0.225806 0.135380 15.082785 0.798862 0.039406 0.068233 12.049068 0.594359 1.029139 0.081187 0.296015
570 0.000000 0.235023 0.135380 14.478798 0.761364 0.046761 0.070897 11.023635 0.677041 1.026496 0.103082 0.318693
571 0.000000 0.244240 0.135380 13.468457 0.678481 0.030318 0.060610 9.138088 0.408335 0.816318 0.130344 0.300769
572 0.000000 0.253456 0.135380 12.356301 0.546944 0.010534 0.040200 6.758208 0.130155 0.496726 0.131061 0.303313
573 0.000000 0.262673 0.135380 11.828342 0.402981 0.014698 0.019313 4.766602 0.173852 0.228446 0.107646 0.296463
574 0.000000 0.271889 0.135380 11.163190 0.295554 0.043095 0.005842 3.299330 0.481081 0.065218 0.085472 0.287496
575 0.000000 0.281106 0.135380 9.459110 0.233694 0.079131 0.005016 2.210535 0.748511 0.047443 0.077504 0.282907
576 0.000000 0.290323 0.135380 6.804301 0.231200 0.109283 0.017755 1.573151 0.743592 0.120811 0.088905 0.277334
577 0.000000 -0.322581 0.150422 6.659715 0.652818 0.069516 -0.033183 4.347584 0.462954 -0.220992 0.073792 0.306699
578 0.000000 -0.312340 0.150422 9.654966 0.623888 0.079003 -0.044211 6.023621 0.762771 -0.426853 0.070184 0.259801
579 0.000000 -0.302099 0.150422 11.771539 0.601478 0.072528 -0.033823 7.080318 0.853761 -0.398152 0.071437 0.278088
580 0.000000 -0.291859 0.150422 13.072286 0.578738 0.049263 -0.005403 7.565430 0.643981 -0.070633 0.078102 0.303311
581 0.000000 -0.281618 0.150422 13.789383 0.556340 0.014001 0.026570 7.671589 0.193066 0.366390 0.083571 0.248990
582 0.000000 -0.271377 0.150422 13.994619 0.562788 -0.005423 0.048072 7.876003 -0.075893 0.672751 0.089915 0.275899
583 0.000000 -0.261137 0.150422 14.206457 0.626962 0.009975 0.042227 8.906913 0.141715 0.599901 0.105733 0.278063
584 0.000000 -0.250896 0.150422 14.624303 0.738538 0.019944 0.009956 10.800603 0.291671 0.145600 0.114364 0.290398
585 0.000000 -0.240655 0.150422 14.868949 0.855520 0.009081 -0.021960 12.720680 0.135028 -0.326523 0.099402 0.297991
586 0.000000 -0.230415 0.150422 14.381107 0.945813 0.000635 -0.032698 13.601831 0.009135 -0.470231 0.073568 0.286948
587 0.000000 -0.220174 0.150422 14.032619 0.990887 0.013577 -0.021863 13.904737 0.190519 -0.306790 0.061427 0.274284
588 0.000000 -0.209933 0.150422 14.594558 1.017014 0.018473 -0.004212 14.842875 0.269603 -0.061474 0.071386 0.297705
589 0.000000 -0.199693 0.150422 15.284786 1.049597 0.003277 0.005373 16.042871 0.050092 0.082123 0.086561 0.292026
590 0.000000 -0.189452 0.150422 15.276461 1.097577 -0.005927 -0.001698 16.767093 -0.090543 -0.025942 0.089523 0.296076
591 0.000000 -0.179211 0.150422 15.135802 1.160566 -0.006851 -0.022205 17.566104 -0.103688 -0.336083 0.074751 0.291553
592 0.000000 -0.168971 0.150422 15.767619 1.220547 -0.000767 -0.037843 19.245122 -0.012095 -0.596700 0.058021 0.287600
593 0.000000 -0.158730 0.150422 16.139052 1.274069 0.001538 -0.038563 20.562259 0.024818 -0.622366 0.048793 0.300209
594 0.000000 -0.148490 0.150422 16.140372 1.313249 0.002926 -0.031922 21.196327 0.047225 -0.515229 0.045297 0.281837
595 0.000000 -0.138249 0.150422 16.279852 1.332347 0.003871 -0.033063 21.690404 0.063021 -0.538256 0.049882 0.299651
596 0.000000 -0.128008 0.150422 16.584976 1.336612 0.003660 -0.034739 22.167678 0.060709 -0.576149 0.056193 0.288896
597 0.000000 -0.117768 0.150422 16.277309 1.342850 0.014650 -0.030968 21.857980 0.238464 -0.504080 0.055797 0.301417
598 0.000000 -0.107527 0.150422 15.950020 1.352236 0.043298 -0.019069 21.568184 0.690603 -0.304145 0.045464 0.303025
599 0.000000 -0.097286 0.150422 16.012999 1.366628 0.072593 -0.002808 21.883815 1.162438 -0.044971 0.033770 0.306668
600 0.000000 -0.087046 0.150422 16.709534 1.391149 0.082601 0.014205 23.245458 1.380224 0.237360 0.029551 0.297703
601 0.000000 -0.076805 0.150422 16.654594 1.421965 0.077703 0.020860 23.682255 1.294120 0.347408 0.029066 0.298450
602 0.000000 -0.066564 0.150422 16.432447 1.462789 0.057654 -0.001412 24.037199 0.947391 -0.023197 0.030980 0.309732
603 0.000000 -0.056324 0.150422 17.163901 1.508029 0.032520 -0.033919 25.883665 0.558162 -0.582190 0.031936 0.303492
604 0.000000 -0.046083 0.150422 17.760116 1.543756 0.014321 -0.044467 27.417286 0.254341 -0.789738 0.034124 0.305023
605 0.000000 -0.035842 0.150422 17.655767 1.552197 -0.000221 -0.036046 27.405234 -0.003899 -0.636414 0.041890 0.309837
606 0.000000 -0.025602 0.150422 17.211291 1.526469 -0.014979 -0.025274 26.272501 -0.257806 -0.434999 0.051505 0.316942
607 0.000000 -0.015361 0.150422 16.977224 1.490336 -0.033019 -0.026076 25.301772 -0.560563 -0.442694 0.054690 0.307624
608 0.000000 -0.005120 0.150422 16.578408 1.467783 -0.051433 -0.027421 24.333502 -0.852683 -0.454595 0.052488 0.317411
609 0.000000 0.005120 0.150422 16.531430 1.467944 -0.054390 -0.010509 24.267219 -0.899150 -0.173727 0.047714 0.310412
610 0.000000 0.015361 0.150422 16.392029 1.474840 -0.035210 0.013711 24.175617 -0.577170 0.224753 0.040274 0.320977
611 0.000000 0.025602 0.150422 16.498470 1.478774 -0.011605 0.029359 24.397503 -0.191470 0.484374 0.030768 0.310212
612 0.000000 0.035842 0.150422 17.131998 1.477535 -0.000945 0.033878 25.313132 -0.016191 0.580402 0.025685 0.312072
613 0.000000 0.046083 0.150422 17.598492 1.468124 0.000135 0.029572 25.836769 0.002369 0.520429 0.026412 0.324226
614 0.000000 0.056324 0.150422 17.713697 1.466473 0.001891 0.023068 25.976657 0.033503 0.408618 0.031353 0.329655
615 0.000000 0.066564 0.150422 16.897663 1.463111 0.004318 0.024593 24.723158 0.072965 0.415565 0.039984 0.310097
616 0.000000 0.076805 0.150422 15.708616 1.454736 0.005327 0.039827 22.851888 0.083676 0.625631 0.047783 0.296395
617 0.000000 0.087046 0.150422 14.742078 1.440507 0.001466 0.056827 21.236072 0.021612 0.837746 0.053651 0.308337
618 0.000000 0.097286 0.150422 14.714599 1.430500 -0.016937 0.053420 21.049229 -0.249220 0.786058 0.059985 0.317484
619 0.000000 0.107527 0.150422 15.333726 1.429029 -0.041067 0.035624 21.912332 -0.629704 0.546242 0.059951 0.289886
620 0.000000 0.117768 0.150422 16.226008 1.409882 -0.059511 0.021182 22.876764 -0.965619 0.343705 0.054363 0.296915
621 0.000000 0.128008 0.150422 16.368161 1.369034 -0.073093 0.011002 22.408576 -1.196391 0.180088 0.052146 0.277876
622 0.000000 0.138249 0.150422 15.717666 1.320021 -0.075366 0.007438 20.747649 -1.184585 0.116905 0.054805 0.288503
623 0.000000 0.148490 0.150422 14.864038 1.280464 -0.068511 0.005789 19.032861 -1.018355 0.086049 0.056491 0.292721
624 0.000000 0.158730 0.150422 14.937569 1.262506 -0.060810 0.002159 18.858769 -0.908357 0.032246 0.058351 0.300620
625 0.000000 0.168971 0.150422 15.501633 1.246648 -0.058494 -0.004681 19.325081 -0.906747 -0.072564 0.062214 0.300509
626 0.000000 0.179211 0.150422 15.846532 1.215529 -0.053094 -0.010836 19.261924 -0.841363 -0.171711 0.069222 0.294738
627 0.000000 0.189452 0.150422 15.366962 1.167221 -0.042536 -0.001397 17.936648 -0.653654 -0.021465 0.075652 0.263445
628 0.000000 0.199693 0.150422 14.999871 1.092983 -0.025746 0.021307 16.394603 -0.386183 0.319597 0.077840 0.287655
629 0.000000 0.209933 0.150422 15.062287 1.016539 -0.007919 0.043800 15.311395 -0.119283 0.659731 0.072389 0.300155
630 0.000000 0.220174 0.150422 15.186286 0.974748 0.010375 0.059097 14.802802 0.157552 0.897464 0.063341 0.272469
631 0.000000 0.230415 0.150422 14.663254 0.960068 0.004388 0.067630 14.077717 0.064338 0.991676 0.066329 0.287377
632 0.000000 0.240655 0.150422 13.462161 0.922016 -0.032690 0.067626 12.412321 -0.440076 0.910390 0.090816 0.314123
633 0.000000 0.250896 0.150422 12.649093 0.807438 -0.057508 0.056918 10.213363 -0.727423 0.719966 0.129363 0.294848
634 0.000000 0.261137 0.150422 12.760351 0.631695 -0.032080 0.050308 8.060655 -0.409353 0.641942 0.165115 0.279121
635 0.000000 0.271377 0.150422 13.273126 0.474439 0.022337 0.055194 6.297283 0.296476 0.732598 0.172318 0.268664
636 0.000000 0.281618 0.150422 13.013173 0.412878 0.064030 0.067570 5.372852 0.833239 0.879306 0.171277 0.269596
637 0.000000 0.291859 0.150422 11.781792 0.461775 0.087972 0.083112 5.440533 1.036472 0.979207 0.177324 0.264228
638 0.000000 0.302099 0.150422 9.929891 0.568490 0.115686 0.091480 5.645046 1.148746 0.908387 0.161203 0.285946
639 0.000000 0.312340 0.150422 7.895914 0.632643 0.140244 0.080142 4.995293 1.107354 0.632794 0.122484 0.286951
640 0.000000 0.322581 0.150422 5.470592 0.618824 0.135345 0.060777 3.385334 0.740415 0.332488 0.087339 0.277893
641 0.000000 -0.354839 0.165464 6.222056 0.460900 0.004242 -0.023733 2.867743 0.026393 -0.147667 0.044696 0.266233
642 0.000000 -0.343574 0.165464 7.721390 0.559309 -0.023518 -0.019507 4.318639 -0.181590 -0.150622 0.075313 0.250148
643 0.000000 -0.332309 0.165464 9.763024 0.659120 -0.022995 -0.024631 6.435000 -0.224496 -0.240477 0.076457 0.237110
644 0.000000 -0.321045 0.165464 12.023560 0.704979 0.009818 -0.046619 8.476352 0.118046 -0.560523 0.069968 0.291220
645 0.000000 -0.309780 0.165464 14.000455 0.725375 0.037071 -0.057985 10.155586 0.519014 -0.811814 0.069905 0.259354
646 0.000000 -0.298515 0.165464 14.898209 0.756869 0.041603 -0.043716 11.275995 0.619814 -0.651284 0.081877 0.274378
647 0.000000 -0.287250 0.165464 14.694924 0.768162 0.022693 -0.014229 11.288079 0.333475 -0.209092 0.105178 0.246840
648 0.000000 -0.275986 0.165464 13.922951 0.758376 -0.006791 0.017820 10.558833 -0.094556 0.248106 0.124921 0.250241
649 0.000000 -0.264721 0.165464 14.111564 0.788118 -0.010095 0.031419 11.121577 -0.142461 0.443377 0.128396 0.256816
650 0.000000 -0.253456 0.165464 14.849370 0.876836 -0.004418 0.020747 13.020467 -0.065603 0.308079 0.122306 0.266612
651 0.000000 -0.242192 0.165464 15.559235 1.007746 -0.006817 -0.001628 15.679763 -0.106064 -0.025330 0.105110 0.293724
652 0.000000 -0.230927 0.165464 15.584108 1.120276 -0.012581 -0.005225 17.458507 -0.196066 -0.081422 0.077868 0.276789
653 0.000000 -0.219662 0.165464 15.295042 1.184508 -0.007891 0.013502 18.117102 -0.120695 0.206513 0.057355 0.264410
654 0.000000 -0.208397 0.165464 15.880316 1.222095 -0.013072 0.025022 19.407258 -0.207588 0.397362 0.052171 0.276692
655 0.000000 -0.197133 0.165464 15.844563 1.261496 -0.023188 0.020001 19.987858 -0.367399 0.316912 0.057326 0.272892
656 0.000000 -0.185868 0.165464 15.324471 1.309051 -0.020914 -0.006282 20.060511 -0.320498 -0.096266 0.056088 0.293129
657 0.000000 -0.174603 0.165464 15.797563 1.338915 -0.014331 -0.040945 21.151589 -0.226387 -0.646836 0.043042 0.272329
658 0.000000 -0.163338 0.165464 16.361013 1.356470 -0.013778 -0.051292 22.193228 -0.225430 -0.839192 0.033853 0.262204
659 0.000000 -0.152074 0.165464 16.513146 1.384136 -0.018733 -0.033271 22.856446 -0.309336 -0.549402 0.036877 0.273829
660 0.000000 -0.140809 0.165464 16.075090 1.425587 -0.019339 -0.013401 22.916441 -0.310869 -0.215421 0.049069 0.279402
661 0.000000 -0.129544 0.165464 16.689166 1.460800 -0.022693 -0.014243 24.379538 -0.378727 -0.237701 0.061470 0.286139
662 0.000000 -0.118280 0.165464 17.244526 1.483889 -0.016648 -0.025371 25.588969 -0.287093 -0.437516 0.064407 0.287295
663 0.000000 -0.107015 0.165464 17.026480 1.497523 0.005869 -0.025338 25.497548 0.099932 -0.431425 0.058996 0.289477
664 0.000000 -0.095750 0.165464 16.958715 1.511022 0.031981 0.003015 25.624994 0.542356 0.051126 0.054014 0.290466
665 0.000000 -0.084485 0.165464 17.243503 1.531626 0.043128 0.035800 26.410597 0.743682 0.617324 0.048834 0.283829
666 0.000000 -0.073221 0.165464 16.469606 1.557630 0.046762 0.041902 25.653559 0.770150 0.690115 0.041769 0.297147
667 0.000000 -0.061956 0.165464 16.428737 1.594220 0.044381 0.012109 26.191022 0.729131 0.198943 0.033509 0.293913
668 0.000000 -0.050691 0.165464 17.480064 1.632955 0.036179 -0.015115 28.544151 0.632406 -0.264217 0.029275 0.279680
669 0.000000 -0.039427 0.165464 17.810248 1.659725 0.024036 -0.019966 29.560107 0.428095 -0.355599 0.031162 0.291158
670 0.000000 -0.028162 0.165464 17.664836 1.664099 -0.003649 -0.008639 29.396031 -0.064465 -0.152602 0.039905 0.288523
671 0.000000 -0.016897 0.165464 17.508665 1.657292 -0.038809 -0.012128 29.016967 -0.679492 -0.212344 0.046819 0.288411
672 0.000000 -0.005632 0.165464 16.599512 1.658343 -0.061581 -0.030516 27.527677 -1.022220 -0.506543 0.050855 0.304252
673 0.000000 0.005632 0.165464 16.413237 1.665480 -0.051857 -0.032397 27.335910 -0.851144 -0.531742 0.055653 0.299927
674 0.000000 0.016897 0.165464 16.393888 1.660636 -0.012663 -0.007304 27.224272 -0.207588 -0.119747 0.056591 0.305708
675 0.000000 0.028162 0.165464 16.078633 1.641595 0.020850 0.018804 26.394596 0.335248 0.302341 0.047889 0.293429
676 0.000000 0.039427 0.165464 16.122780 1.627168 0.031465 0.023633 26.234465 0.507306 0.381026 0.038235 0.319144
677 0.000000 0.050691 0.165464 16.772084 1.631004 0.027827 0.019696 27.355340 0.466712 0.330341 0.036960 0.290827
678 0.000000 0.061956 0.165464 17.000583 1.639528 0.020802 0.020764 27.872927 0.353650 0.353001 0.041295 0.294890
679 0.000000 0.073221 0.165464 16.139157 1.635651 0.016273 0.037438 26.398032 0.262638 0.604225 0.048053 0.294823
680 0.000000 0.084485 0.165464 15.610617 1.614572 0.011173 0.053317 25.204470 0.174416 0.832319 0.060270 0.292813
681 0.000000 0.095750 0.165464 15.391960 1.603329 -0.000767 0.044737 24.678382 -0.011808 0.688594 0.073622 0.296144
682 0.000000 0.107015 0.165464 15.286589 1.604650 -0.017195 0.021702 24.529624 -0.262850 0.331755 0.071773 0.272052
683 0.000000 0.118280 0.165464 15.732085 1.590250 -0.030397 0.002707 25.017941 -0.478207 0.042592 0.058883 0.280124
684 0.000000 0.129544 0.165464 16.012262 1.546147 -0.040081 -0.011152 24.757312 -0.641781 -0.178566 0.054213 0.275456
685 0.000000 0.140809 0.165464 15.726210 1.500811 -0.042762 -0.026459 23.602070 -0.672489 -0.416096 0.053022 0.271025
686 0.000000 0.152074 0.165464 15.682417 1.468911 -0.039825 -0.026348 23.036075 -0.624557 -0.413197 0.051738 0.278013
687 0.000000 0.163338 0.165464 16.129570 1.433106 -0.041376 -0.013421 23.115377 -0.667373 -0.216482 0.049218 0.280015
688 0.000000 0.174603 0.165464 16.558449 1.404114 -0.041267 -0.001011 23.249954 -0.683316 -0.016734 0.050572 0.276665
689 0.000000 0.185868 0.165464 16.162461 1.375577 -0.031235 0.005704 22.232715 -0.504831 0.092192 0.055917 0.257175
690 0.000000 0.197133 0.165464 15.423206 1.318273 -0.013360 0.012183 20.331999 -0.206050 0.187905 0.070894 0.270479
691 0.000000 0.208397 0.165464 15.268398 1.226876 0.002832 0.026137 18.732423 0.043247 0.399072 0.082556 0.282460
692 0.000000 0.219662 0.165464 15.974767 1.141521 0.012849 0.043040 18.235528 0.205265 0.687553 0.075927 0.260691
693 0.000000 0.230927 0.165464 15.860315 1.093139 0.000587 0.056200 17.337529 0.009304 0.891351 0.067063 0.274093
694 0.000000 0.242192 0.165464 14.500704 1.047314 -0.031330 0.055625 15.186784 -0.454305 0.806600 0.069322 0.289270
695 0.000000 0.253456 0.165464 13.595449 0.970969 -0.040514 0.052957 13.200758 -0.550800 0.719977 0.089518 0.273228
696 0.000000 0.264721 0.165464 13.430798 0.873014 -0.009935 0.077173 11.725274 -0.133435 1.036492 0.127374 0.261635
697 0.000000 0.275986 0.165464 13.673720 0.784757 0.034095 0.113848 10.730554 0.466200 1.556720 0.164726 0.272625
698 0.000000 0.287250 0.165464 14.035736 0.757704 0.048154 0.125051 10.634935 0.675880 1.755184 0.169946 0.263579
699 0.000000 0.298515 0.165464 13.585933 0.754636 0.054201 0.096879 10.252439 0.736373 1.316191 0.146105 0.266229
700 0.000000 0.309780 0.165464 12.428766 0.727309 0.063827 0.051007 9.039554 0.793288 0.633950 0.110228 0.267144
