j xq yq zq rhoq vxq vyq vzq pxq pyq pzq Tq pq
258 0.000000 -0.156170 0.075211 8.715447 0.534112 0.009869 -0.015873 4.655024 0.086013 -0.138337 0.047481 0.373453
259 0.000000 -0.151050 0.075211 9.783349 0.538865 0.002453 -0.016163 5.271907 0.024001 -0.158132 0.057807 0.360454
260 0.000000 -0.145929 0.075211 10.724041 0.541824 -0.008395 -0.015708 5.810548 -0.090027 -0.168456 0.068810 0.344185
261 0.000000 -0.140809 0.075211 11.483234 0.545831 -0.020621 -0.015180 6.267908 -0.236801 -0.174320 0.079047 0.369656
262 0.000000 -0.135689 0.075211 12.036024 0.556326 -0.032398 -0.015053 6.695952 -0.389937 -0.181178 0.087591 0.386122
263 0.000000 -0.130568 0.075211 12.393030 0.573376 -0.041719 -0.014820 7.105865 -0.517027 -0.183659 0.092971 0.382847
264 0.000000 -0.125448 0.075211 12.670019 0.595533 -0.045786 -0.013585 7.545414 -0.580111 -0.172118 0.093833 0.369076
265 0.000000 -0.120328 0.075211 13.048109 0.620397 -0.041505 -0.009145 8.095004 -0.541557 -0.119322 0.091639 0.384206
266 0.000000 -0.115207 0.075211 13.568177 0.645423 -0.029428 -0.000193 8.757213 -0.399278 -0.002617 0.088831 0.365834
267 0.000000 -0.110087 0.075211 14.287892 0.667892 -0.013484 0.012123 9.542765 -0.192658 0.173211 0.086082 0.368549
268 0.000000 -0.104967 0.075211 15.142998 0.686915 0.000224 0.024109 10.401960 0.003398 0.365076 0.082671 0.380851
269 0.000000 -0.099846 0.075211 15.985702 0.704691 0.005267 0.032861 11.264980 0.084198 0.525301 0.077989 0.374523
270 0.000000 -0.094726 0.075211 16.654448 0.720448 0.000732 0.037941 11.998669 0.012184 0.631891 0.072332 0.378290
271 0.000000 -0.089606 0.075211 17.084230 0.734057 -0.009884 0.040172 12.540794 -0.168859 0.686313 0.064692 0.383774
272 0.000000 -0.084485 0.075211 17.377151 0.745569 -0.022390 0.039981 12.955859 -0.389080 0.694757 0.054846 0.374082
273 0.000000 -0.079365 0.075211 17.612147 0.755286 -0.031884 0.036793 13.302211 -0.561538 0.648003 0.043773 0.373564
274 0.000000 -0.074245 0.075211 17.795350 0.762207 -0.036421 0.030846 13.563732 -0.648121 0.548911 0.033935 0.380715
275 0.000000 -0.069124 0.075211 17.911307 0.763717 -0.035442 0.022956 13.679173 -0.634821 0.411179 0.027934 0.395392
276 0.000000 -0.064004 0.075211 17.961073 0.760185 -0.031915 0.014557 13.653730 -0.573219 0.261461 0.026162 0.377674
277 0.000000 -0.058884 0.075211 17.970378 0.755704 -0.031342 0.007650 13.580290 -0.563232 0.137477 0.026259 0.383741
278 0.000000 -0.053763 0.075211 18.016549 0.753117 -0.034671 0.002068 13.568568 -0.624661 0.037264 0.027364 0.378015
279 0.000000 -0.048643 0.075211 18.095060 0.752530 -0.041804 -0.002826 13.617076 -0.756445 -0.051140 0.028654 0.377319
280 0.000000 -0.043523 0.075211 18.164499 0.754682 -0.051154 -0.006800 13.708415 -0.929195 -0.123511 0.029289 0.389851
281 0.000000 -0.038402 0.075211 18.129059 0.760263 -0.058968 -0.009981 13.782860 -1.069035 -0.180945 0.029037 0.374790
282 0.000000 -0.033282 0.075211 18.034880 0.767954 -0.061937 -0.011983 13.849961 -1.117027 -0.216119 0.028200 0.395365
283 0.000000 -0.028162 0.075211 17.956866 0.774980 -0.058786 -0.012304 13.916216 -1.055607 -0.220943 0.027326 0.378776
284 0.000000 -0.023041 0.075211 17.962723 0.781636 -0.050558 -0.010010 14.040318 -0.908157 -0.179816 0.026943 0.397457
285 0.000000 -0.017921 0.075211 18.084157 0.789192 -0.039772 -0.004882 14.271872 -0.719248 -0.088286 0.027080 0.375177
286 0.000000 -0.012801 0.075211 18.165454 0.797500 -0.029293 0.001243 14.486954 -0.532122 0.022584 0.027449 0.394361
287 0.000000 -0.007680 0.075211 18.085416 0.805774 -0.021267 0.006266 14.572767 -0.384623 0.113316 0.027984 0.397189
288 0.000000 -0.002560 0.075211 17.795309 0.814683 -0.016098 0.009600 14.497538 -0.286465 0.170842 0.028713 0.392985
289 0.000000 0.002560 0.075211 17.278231 0.824847 -0.013079 0.011062 14.251894 -0.225986 0.191131 0.029823 0.375111
290 0.000000 0.007680 0.075211 16.738127 0.837727 -0.011423 0.010775 14.021989 -0.191203 0.180355 0.031237 0.401690
291 0.000000 0.012801 0.075211 16.303208 0.852637 -0.010995 0.009489 13.900721 -0.179247 0.154706 0.032233 0.393484
292 0.000000 0.017921 0.075211 16.194284 0.866338 -0.012076 0.007381 14.029728 -0.195564 0.119534 0.032737 0.392853
293 0.000000 0.023041 0.075211 16.438980 0.872618 -0.015605 0.004212 14.344943 -0.256528 0.069243 0.035235 0.375790
294 0.000000 0.028162 0.075211 16.797324 0.868242 -0.021822 0.000350 14.584139 -0.366556 0.005875 0.040851 0.383682
295 0.000000 0.033282 0.075211 17.109556 0.853954 -0.029655 -0.004672 14.610779 -0.507382 -0.079932 0.047997 0.392267
296 0.000000 0.038402 0.075211 17.301854 0.833375 -0.037663 -0.010637 14.418927 -0.651647 -0.184041 0.053791 0.403290
297 0.000000 0.043523 0.075211 17.377171 0.811080 -0.043430 -0.014846 14.094279 -0.754696 -0.257980 0.056289 0.413471
298 0.000000 0.048643 0.075211 17.392473 0.790887 -0.046409 -0.014596 13.755473 -0.807174 -0.253864 0.055090 0.380673
299 0.000000 0.053763 0.075211 17.393570 0.774522 -0.047696 -0.009258 13.471705 -0.829598 -0.161031 0.050975 0.386399
300 0.000000 0.058884 0.075211 17.518301 0.761758 -0.048582 -0.001112 13.344713 -0.851082 -0.019475 0.045148 0.406201
301 0.000000 0.064004 0.075211 17.751909 0.751186 -0.049594 0.006042 13.334993 -0.880381 0.107253 0.039300 0.365936
302 0.000000 0.069124 0.075211 17.936251 0.740251 -0.051272 0.008830 13.277333 -0.919633 0.158371 0.034885 0.395401
303 0.000000 0.074245 0.075211 18.024031 0.727925 -0.053455 0.006778 13.120135 -0.963483 0.122169 0.032936 0.383646
304 0.000000 0.079365 0.075211 18.033790 0.714553 -0.054635 0.001639 12.886103 -0.985281 0.029549 0.033592 0.375510
305 0.000000 0.084485 0.075211 17.912139 0.701959 -0.051913 -0.003352 12.573585 -0.929880 -0.060048 0.036127 0.383066
306 0.000000 0.089606 0.075211 17.715562 0.691079 -0.042995 -0.005540 12.242845 -0.761679 -0.098148 0.040958 0.367317
307 0.000000 0.094726 0.075211 17.601377 0.679376 -0.027730 -0.004443 11.957947 -0.488086 -0.078211 0.048211 0.379487
308 0.000000 0.099846 0.075211 17.444784 0.664076 -0.009182 -0.000421 11.584658 -0.160175 -0.007350 0.056587 0.392075
309 0.000000 0.104967 0.075211 17.157943 0.642419 0.008445 0.005458 11.022595 0.144898 0.093644 0.064540 0.377260
310 0.000000 0.110087 0.075211 16.778349 0.614611 0.021734 0.011045 10.312165 0.364656 0.185311 0.069546 0.371637
311 0.000000 0.115207 0.075211 16.353241 0.584052 0.028091 0.015551 9.551142 0.459385 0.254315 0.070714 0.376049
312 0.000000 0.120328 0.075211 15.948542 0.553290 0.027603 0.018848 8.824170 0.440227 0.300592 0.068807 0.362243
313 0.000000 0.125448 0.075211 15.586366 0.526190 0.022896 0.019791 8.201396 0.356864 0.308464 0.064790 0.366615
314 0.000000 0.130568 0.075211 15.033169 0.506085 0.017428 0.017641 7.608065 0.261998 0.265195 0.060693 0.372315
315 0.000000 0.135689 0.075211 14.060342 0.489839 0.014123 0.013294 6.887309 0.198577 0.186924 0.058031 0.378029
316 0.000000 0.140809 0.075211 12.735161 0.474131 0.013436 0.007908 6.038137 0.171114 0.100711 0.056644 0.361279
317 0.000000 0.145929 0.075211 11.249550 0.456716 0.013089 0.000615 5.137844 0.147247 0.006923 0.055428 0.363862
318 0.000000 0.151050 0.075211 9.694926 0.436177 0.009278 -0.007897 4.228701 0.089952 -0.076564 0.052791 0.362317
319 0.000000 0.156170 0.075211 8.180464 0.418014 -0.000451 -0.014970 3.419545 -0.003690 -0.122462 0.048916 0.381784
320 0.000000 0.161290 0.075211 6.822171 0.412806 -0.014280 -0.021566 2.816230 -0.097419 -0.147126 0.045707 0.370942
321 0.000000 -0.193548 0.090253 7.067326 0.442603 -0.070281 0.010082 3.128021 -0.496696 0.071255 0.065934 0.366771
322 0.000000 -0.187404 0.090253 8.752730 0.456304 -0.048433 0.001634 3.993904 -0.423922 0.014300 0.067793 0.361212
323 0.000000 -0.181260 0.090253 10.392926 0.480012 -0.019543 -0.009459 4.988730 -0.203111 -0.098306 0.066076 0.364987
324 0.000000 -0.175115 0.090253 11.917138 0.506327 0.004448 -0.020837 6.033972 0.053010 -0.248323 0.060117 0.344218
325 0.000000 -0.168971 0.090253 13.237736 0.530891 0.017654 -0.030466 7.027791 0.233703 -0.403297 0.053267 0.347768
326 0.000000 -0.162826 0.090253 14.445841 0.552675 0.022048 -0.036484 7.983853 0.318500 -0.527035 0.051450 0.341379
327 0.000000 -0.156682 0.090253 15.519112 0.569751 0.019658 -0.037147 8.842035 0.305082 -0.576492 0.056627 0.359904
328 0.000000 -0.150538 0.090253 16.079547 0.588193 0.013107 -0.034954 9.457878 0.210757 -0.562048 0.065463 0.345670
329 0.000000 -0.144393 0.090253 16.022398 0.614393 -0.000196 -0.033171 9.844042 -0.003135 -0.531471 0.075698 0.332597
330 0.000000 -0.138249 0.090253 15.656796 0.649957 -0.020412 -0.033376 10.176238 -0.319583 -0.522564 0.085272 0.359820
331 0.000000 -0.132104 0.090253 15.115044 0.694369 -0.041113 -0.036221 10.495410 -0.621426 -0.547488 0.089802 0.373915
332 0.000000 -0.125960 0.090253 14.476384 0.743518 -0.057990 -0.039637 10.763453 -0.839480 -0.573805 0.085328 0.350089
333 0.000000 -0.119816 0.090253 14.267316 0.788346 -0.067004 -0.037796 11.247582 -0.955974 -0.539244 0.071729 0.368178
334 0.000000 -0.113671 0.090253 14.697731 0.819215 -0.061521 -0.027374 12.040603 -0.904220 -0.402337 0.058145 0.348021
335 0.000000 -0.107527 0.090253 15.463969 0.835052 -0.044609 -0.010735 12.913225 -0.689825 -0.166006 0.051627 0.363194
336 0.000000 -0.101382 0.090253 16.061421 0.842731 -0.026315 0.006362 13.535460 -0.422656 0.102188 0.049874 0.349627
337 0.000000 -0.095238 0.090253 16.404345 0.849419 -0.013115 0.019807 13.934161 -0.215145 0.324917 0.048231 0.364360
338 0.000000 -0.089094 0.090253 16.692590 0.858491 -0.006251 0.025808 14.330446 -0.104344 0.430805 0.045749 0.367459
339 0.000000 -0.082949 0.090253 17.082785 0.866600 -0.002398 0.024203 14.803944 -0.040960 0.413452 0.042066 0.356575
340 0.000000 -0.076805 0.090253 17.498465 0.870157 0.001701 0.018686 15.226418 0.029765 0.326973 0.038156 0.358619
341 0.000000 -0.070661 0.090253 17.711446 0.869128 0.005981 0.012007 15.393518 0.105928 0.212669 0.035719 0.380924
342 0.000000 -0.064516 0.090253 17.638637 0.866055 0.008692 0.004557 15.276031 0.153319 0.080377 0.035821 0.363102
343 0.000000 -0.058372 0.090253 17.522962 0.863929 0.006866 -0.003562 15.138592 0.120315 -0.062409 0.038260 0.366829
344 0.000000 -0.052227 0.090253 17.326302 0.863486 -0.000555 -0.010172 14.961015 -0.009616 -0.176251 0.041752 0.356616
345 0.000000 -0.046083 0.090253 17.199328 0.865831 -0.013942 -0.013772 14.891718 -0.239793 -0.236870 0.044790 0.365192
346 0.000000 -0.039939 0.090253 17.384758 0.871612 -0.028865 -0.015534 15.152762 -0.501814 -0.270052 0.045343 0.369018
347 0.000000 -0.033794 0.090253 17.537042 0.877979 -0.041508 -0.016763 15.397159 -0.727935 -0.293982 0.043357 0.379247
348 0.000000 -0.027650 0.090253 17.656677 0.884152 -0.048795 -0.017826 15.611182 -0.861551 -0.314749 0.040416 0.364067
349 0.000000 -0.021505 0.090253 17.921647 0.889626 -0.048004 -0.016650 15.943570 -0.860319 -0.298392 0.037037 0.379610
350 0.000000 -0.015361 0.090253 18.331930 0.894898 -0.040265 -0.011413 16.405211 -0.738136 -0.209214 0.033883 0.367793
351 0.000000 -0.009217 0.090253 18.601523 0.901688 -0.029033 -0.002109 16.772769 -0.540061 -0.039236 0.030807 0.379045
352 0.000000 -0.003072 0.090253 18.477613 0.909073 -0.017817 0.010021 16.797501 -0.329212 0.185162 0.027519 0.378123
353 0.000000 0.003072 0.090253 17.872085 0.917837 -0.008967 0.022463 16.403668 -0.160264 0.401454 0.024471 0.359238
354 0.000000 0.009217 0.090253 17.018602 0.930623 -0.002170 0.033150 15.837911 -0.036928 0.564167 0.022066 0.388016
355 0.000000 0.015361 0.090253 16.470666 0.946186 0.001772 0.040421 15.584312 0.029186 0.665765 0.021362 0.381146
356 0.000000 0.021505 0.090253 16.318692 0.958633 0.001501 0.043049 15.643639 0.024490 0.702497 0.022384 0.359338
357 0.000000 0.027650 0.090253 16.544598 0.962434 -0.003686 0.040613 15.923087 -0.060987 0.671930 0.023976 0.369902
358 0.000000 0.033794 0.090253 16.975901 0.956204 -0.011632 0.032476 16.232431 -0.197462 0.551304 0.026251 0.377335
359 0.000000 0.039939 0.090253 17.325067 0.941284 -0.019204 0.020315 16.307807 -0.332711 0.351964 0.028875 0.396657
360 0.000000 0.046083 0.090253 17.598843 0.922593 -0.024913 0.010882 16.236571 -0.438441 0.191517 0.030971 0.384395
361 0.000000 0.052227 0.090253 17.608615 0.907638 -0.029279 0.009275 15.982244 -0.515565 0.163317 0.032818 0.368357
362 0.000000 0.058372 0.090253 17.450245 0.897068 -0.031784 0.015789 15.654049 -0.554631 0.275527 0.035128 0.392285
363 0.000000 0.064516 0.090253 17.350913 0.884428 -0.033128 0.024079 15.345634 -0.574796 0.417795 0.038194 0.352072
364 0.000000 0.070661 0.090253 17.151997 0.867395 -0.037016 0.028205 14.877561 -0.634903 0.483775 0.041289 0.379410
365 0.000000 0.076805 0.090253 16.907218 0.848632 -0.043356 0.026056 14.348009 -0.733037 0.440534 0.043204 0.356563
366 0.000000 0.082949 0.090253 16.914970 0.832028 -0.046787 0.016019 14.073730 -0.791401 0.270963 0.044030 0.367556
367 0.000000 0.089094 0.090253 17.120215 0.816945 -0.041967 0.001433 13.986268 -0.718482 0.024529 0.044944 0.356680
368 0.000000 0.095238 0.090253 17.240009 0.803094 -0.028627 -0.011050 13.845340 -0.493535 -0.190504 0.045907 0.368167
369 0.000000 0.101382 0.090253 17.256481 0.789788 -0.011153 -0.015729 13.628967 -0.192469 -0.271424 0.048732 0.370005
370 0.000000 0.107527 0.090253 17.067713 0.771843 0.004565 -0.011499 13.173595 0.077914 -0.196258 0.055129 0.350055
371 0.000000 0.113671 0.090253 16.673063 0.744356 0.016835 -0.001997 12.410698 0.280688 -0.033300 0.062687 0.356643
372 0.000000 0.119816 0.090253 16.284781 0.704647 0.023942 0.008056 11.475023 0.389893 0.131198 0.068280 0.347175
373 0.000000 0.125960 0.090253 16.131978 0.660280 0.026175 0.014129 10.651620 0.422262 0.227923 0.069937 0.349593
374 0.000000 0.132104 0.090253 15.858437 0.621972 0.028378 0.013618 9.863505 0.450036 0.215968 0.070389 0.363825
